preset,bed_x,bed_y,bed_z,square_x,square_y,circle_diameter,rule
FLASHFORGE_ADVENTURER5M_PRO,220,220,220,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
PRUSA_CORE_ONE,250,220,270,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
PRUSA_CORE_ONE_L,300,300,330,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
PRUSA_MK4,250,210,220,5.0,5.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
PRUSA_MK4S,250,210,220,5.0,5.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
PRUSA_XL,360,360,360,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
QIDI_PLUS4,305,305,280,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
QIDI_Q1_PRO,245,245,240,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
QIDI_X_MAX_3,325,325,315,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
QIDI_X_PLUS_3,280,280,270,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
SNAPMAKER_J1,300,200,200,5.0,5.0,190.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
SNAPMAKER_U1,270,270,270,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
SOVOL_SV06,220,220,250,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
SOVOL_SV06_PLUS,300,300,340,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
SOVOL_SV08,350,350,345,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
VORON_2_4_250,250,250,250,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
VORON_2_4_300,300,300,300,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
VORON_2_4_350,350,350,350,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
VORON_TRIDENT_250,250,250,250,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
VORON_TRIDENT_300,300,300,300,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
VORON_TRIDENT_350,350,350,350,10.0,10.0,200.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
VORON_V0_120,120,120,120,5.0,5.0,110.0,XY>=220: square origin 10,10 and circle diameter 200; otherwise origin 5,5 and diameter min(X,Y)-10
